blockchain,project,version,pool_contract,uni_fork_flag,fee,token_pair,volume,vol_pct_per_chain,cum_vol_pct_per_chain,tx_count,token0,token1,token0_symbol,token1_symbol,token0_decimal,token1_decimal,example_hash
base,aerodrome,slipstream,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,v3,,USDC-WETH,74243307258.29538,0.25329970052380707,0.25329970052380707,4707111,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,WETH,USDC,18,6,0xffffffc3cc753228020ce568081c187c6f6b88f8a738861f43f0f5218170ce80
arbitrum,uniswap,3,0xc6962004f452be9203591991d15f6b388e09e8d0,v3,500,USDC-WETH,53418626569.67147,0.2002169458381552,0.2002169458381552,11541244,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xaf88d065e77c8cc2239327c5edb3a432268e5831,WETH,USDC,18,6,0xfffffe302e58e0ef33a9591993373609a80497b3e8035f6cce5d2284efe3a849
arbitrum,uniswap,3,0x641c00a822e8b671738d32a431a4fb6074e5c79d,v3,500,USDT-WETH,20756848231.57997,0.07779819559255684,0.27801514143071204,7740689,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,WETH,USDT,18,6,0xffffff6b4272514e06d58f602b8f851b5c472011564d939ee769947d5aa7d766
base,uniswap,3,0xd0b53d9277642d899df5c87a3966a349a798f224,v3,500,USDC-WETH,19693952021.776695,0.06719086653684718,0.32049056706065426,6590048,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,WETH,USDC,18,6,0xffffffd2588a8506eb0e4f65d5f0f0ee02afb771d1215effa924fd324471c8e1
base,uniswap,3,0xd0b53d9277642d899df5c87a3966a349a798f224,v2,3000,USDC-WETH,19693952021.776695,0.06719086653684718,0.32049056706065426,6590048,0xfa76ab1dd3f028d7ecac2fcf332d76c7bd58116d,0x4200000000000000000000000000000000000006,USDC,WETH,6,18,0xffffffd2588a8506eb0e4f65d5f0f0ee02afb771d1215effa924fd324471c8e1
base,uniswap,3,0xd0b53d9277642d899df5c87a3966a349a798f224,v2,3000,USDC-WETH,19693952021.776695,0.06719086653684718,0.32049056706065426,6590048,0x6f49b20f13ef87d6fdda9180a65d9260c427b783,0x4200000000000000000000000000000000000006,USDC,WETH,6,18,0xffffffd2588a8506eb0e4f65d5f0f0ee02afb771d1215effa924fd324471c8e1
base,aerodrome,slipstream,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,v3,,cbBTC-WETH,17019103537.903109,0.058064948727790576,0.3785555157884448,1186017,0x4200000000000000000000000000000000000006,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,WETH,cbBTC,18,8,0xfffffbc61118ab3ad0b80581d175f539d0943b8617691ddfaafcfad6cacd2c7d
arbitrum,uniswap,3,0x2f5e87c9312fa29aed5c179e456625d79015299c,v3,500,WBTC-WETH,16895379836.026043,0.06332512770864168,0.3413402691393537,3678885,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WBTC,WETH,8,18,0xfffffe44a8f54484b22c8bd4776917303080c0d49410da34ba969414d6cf92d4
arbitrum,camelot,3,0xb1026b8e7276e7ac75410f1fcbbe21796e8f7526,v3,,USDC-WETH,15901268661.859495,0.059599125826964465,0.4009393949663182,8888401,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xaf88d065e77c8cc2239327c5edb3a432268e5831,WETH,USDC,18,6,0xfffffd18cc879970b6b0eba7d780e551a4e19c26a4ae2988495f5c71d17866cf
arbitrum,uniswap,3,0xc31e54c7a869b9fcbecc14363cf510d1c41fa443,v3,500,USDC-WETH,13227059239.293928,0.0495759919970565,0.4505153869633747,6255246,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,WETH,USDC,18,6,0xfffff91814fdad60e13d511167d8db58c8c17bc4fae336919ad19ce7a0ab0484
base,aerodrome,slipstream,0x4e962bb3889bf030368f56810a9c96b83cb3e778,v3,,cbBTC-USDC,11994279894.109451,0.04092150009706343,0.41947701588550823,1179161,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,USDC,cbBTC,6,8,0xffffd088e42f4e6f544ad01456d2992f234b2416a183f1279af86e6a868d0082
